"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\repos\MMO-Game\MMO-Game\sketch\Entity\Entity.ts", "TypeScript", 24, 0, 3, 27
"c:\repos\MMO-Game\MMO-Game\sketch\Entity\Player.ts", "TypeScript", 137, 3, 16, 156
"c:\repos\MMO-Game\MMO-Game\sketch\Game.ts", "TypeScript", 52, 1, 10, 63
"c:\repos\MMO-Game\MMO-Game\sketch\Menu\Buttons\StartButton.ts", "TypeScript", 17, 1, 3, 21
"c:\repos\MMO-Game\MMO-Game\sketch\Menu\Buttons\WorldGenButton.ts", "TypeScript", 17, 1, 3, 21
"c:\repos\MMO-Game\MMO-Game\sketch\Menu\Menu.ts", "TypeScript", 30, 0, 3, 33
"c:\repos\MMO-Game\MMO-Game\sketch\Mining.ts", "TypeScript", 37, 3, 3, 43
"c:\repos\MMO-Game\MMO-Game\sketch\Object\Objects.ts", "TypeScript", 21, 0, 4, 25
"c:\repos\MMO-Game\MMO-Game\sketch\sketch.ts", "TypeScript", 79, 0, 7, 86
"c:\repos\MMO-Game\MMO-Game\sketch\utilities\Buttons.ts", "TypeScript", 62, 0, 7, 69
"c:\repos\MMO-Game\MMO-Game\sketch\utilities\Constants.ts", "TypeScript", 4, 1, 2, 7
"c:\repos\MMO-Game\MMO-Game\sketch\utilities\Utiles.ts", "TypeScript", 30, 0, 4, 34
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tile.ts", "TypeScript", 21, 0, 4, 25
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Air.ts", "TypeScript", 14, 0, 4, 18
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Bedrock.ts", "TypeScript", 14, 0, 3, 17
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Grass.ts", "TypeScript", 14, 0, 4, 18
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Stone.ts", "TypeScript", 14, 0, 4, 18
"c:\repos\MMO-Game\MMO-Game\sketch\world\World.ts", "TypeScript", 75, 0, 5, 80
"c:\repos\MMO-Game\MMO-Game\sketch\world\WorldGen.ts", "TypeScript", 21, 0, 3, 24
"Total", "-", 683, 10, 92, 785
