"filename", "language", "JSON with Comments", "JSON", "HTML", "TypeScript", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\repos\MMO-Game\MMO-Game\README.md", "Markdown", 0, 0, 0, 0, 77, 0, 0, 43, 120
"c:\repos\MMO-Game\MMO-Game\build\build.js", "JavaScript", 0, 0, 0, 0, 0, 673, 1, 0, 674
"c:\repos\MMO-Game\MMO-Game\global.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 1, 2, 7
"c:\repos\MMO-Game\MMO-Game\index.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 6, 42
"c:\repos\MMO-Game\MMO-Game\package-lock.json", "JSON", 0, 5084, 0, 0, 0, 0, 0, 1, 5085
"c:\repos\MMO-Game\MMO-Game\package.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\repos\MMO-Game\MMO-Game\sketch\Entity\Player.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 3, 1, 6
"c:\repos\MMO-Game\MMO-Game\sketch\Game.ts", "TypeScript", 0, 0, 0, 5, 0, 0, -1, -1, 3
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\Inventory.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 7, 67
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\Item.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\Items\Pickaxe.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\repos\MMO-Game\MMO-Game\sketch\Mining.ts", "TypeScript", 0, 0, 0, -6, 0, 0, -1, 0, -7
"c:\repos\MMO-Game\MMO-Game\sketch\Object\Objects.ts", "TypeScript", 0, 0, 0, -21, 0, 0, 0, -4, -25
"c:\repos\MMO-Game\MMO-Game\sketch\sketch.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\repos\MMO-Game\MMO-Game\sketch\utilities\Utiles.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 1, 0, 0
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tile.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 1, 10, 43
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Air.ts", "TypeScript", 0, 0, 0, -3, 0, 0, 0, -1, -4
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Bedrock.ts", "TypeScript", 0, 0, 0, -3, 0, 0, 0, -1, -4
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Grass.ts", "TypeScript", 0, 0, 0, -3, 0, 0, 0, -1, -4
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Stone.ts", "TypeScript", 0, 0, 0, -3, 0, 0, 0, -1, -4
"c:\repos\MMO-Game\MMO-Game\sketch\world\WorldGen.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\repos\MMO-Game\MMO-Game\tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, 1, 14
"Total", "-", 13, 5102, 36, 109, 77, 673, 5, 71, 6086
