"filename", "language", "JSON with Comments", "JSON", "HTML", "TypeScript", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\repos\MMO-Game\MMO-Game\README.md", "Markdown", 0, 0, 0, 0, 77, 0, 0, 43, 120
"c:\repos\MMO-Game\MMO-Game\build\build.js", "JavaScript", 0, 0, 0, 0, 0, 673, 1, 0, 674
"c:\repos\MMO-Game\MMO-Game\global.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 1, 2, 7
"c:\repos\MMO-Game\MMO-Game\index.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 6, 42
"c:\repos\MMO-Game\MMO-Game\package-lock.json", "JSON", 0, 5084, 0, 0, 0, 0, 0, 1, 5085
"c:\repos\MMO-Game\MMO-Game\package.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\repos\MMO-Game\MMO-Game\sketch\Entity\Entity.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\repos\MMO-Game\MMO-Game\sketch\Entity\Player.ts", "TypeScript", 0, 0, 0, 139, 0, 0, 6, 17, 162
"c:\repos\MMO-Game\MMO-Game\sketch\Game.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 9, 66
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\Inventory.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 7, 67
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\Item.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\Items\Pickaxe.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\repos\MMO-Game\MMO-Game\sketch\Menu\Buttons\StartButton.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 1, 3, 21
"c:\repos\MMO-Game\MMO-Game\sketch\Menu\Buttons\WorldGenButton.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 1, 3, 21
"c:\repos\MMO-Game\MMO-Game\sketch\Menu\Menu.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 3, 33
"c:\repos\MMO-Game\MMO-Game\sketch\Mining.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 2, 3, 36
"c:\repos\MMO-Game\MMO-Game\sketch\sketch.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 9, 99
"c:\repos\MMO-Game\MMO-Game\sketch\utilities\Buttons.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 7, 69
"c:\repos\MMO-Game\MMO-Game\sketch\utilities\Constants.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 1, 2, 7
"c:\repos\MMO-Game\MMO-Game\sketch\utilities\Utiles.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 1, 4, 34
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tile.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 1, 14, 68
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Air.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Bedrock.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Grass.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\Stone.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\repos\MMO-Game\MMO-Game\sketch\world\World.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 0, 5, 80
"c:\repos\MMO-Game\MMO-Game\sketch\world\WorldGen.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 3, 26
"c:\repos\MMO-Game\MMO-Game\tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, 1, 14
"Total", "-", 13, 5102, 36, 792, 77, 673, 15, 163, 6871
