"filename", "language", "Markdown", "JSON", "JSON with Comments", "HTML", "TypeScript", "JavaScript", "comment", "blank", "total"
"c:\repos\MMO-Game\MMO-Game\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\MMO-Game\MMO-Game\build\build.js", "JavaScript", 0, 0, 0, 0, 0, 781, 1, 0, 782
"c:\repos\MMO-Game\MMO-Game\global.d.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\repos\MMO-Game\MMO-Game\index.html", "HTML", 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\repos\MMO-Game\MMO-Game\package-lock.json", "JSON", 0, 5084, 0, 0, 0, 0, 0, 1, 5085
"c:\repos\MMO-Game\MMO-Game\package.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\repos\MMO-Game\MMO-Game\sketch\Entity\Entity.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\repos\MMO-Game\MMO-Game\sketch\Entity\Player.ts", "TypeScript", 0, 0, 0, 0, 139, 0, 6, 17, 162
"c:\repos\MMO-Game\MMO-Game\sketch\Game.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 9, 63
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\Inventory.ts", "TypeScript", 0, 0, 0, 0, 93, 0, 1, 13, 107
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\InventorySlot.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\Item.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 7, 67
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\Items\Pickaxe.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\repos\MMO-Game\MMO-Game\sketch\Inventory\Items\StoneItem.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\repos\MMO-Game\MMO-Game\sketch\Menu\Buttons\StartButton.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 1, 3, 21
"c:\repos\MMO-Game\MMO-Game\sketch\Menu\Buttons\WorldGenButton.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 1, 3, 21
"c:\repos\MMO-Game\MMO-Game\sketch\Menu\Menu.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 3, 33
"c:\repos\MMO-Game\MMO-Game\sketch\Mining.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 2, 3, 42
"c:\repos\MMO-Game\MMO-Game\sketch\sketch.ts", "TypeScript", 0, 0, 0, 0, 95, 0, 0, 10, 105
"c:\repos\MMO-Game\MMO-Game\sketch\utilities\Buttons.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 7, 69
"c:\repos\MMO-Game\MMO-Game\sketch\utilities\Constants.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 1, 4, 21
"c:\repos\MMO-Game\MMO-Game\sketch\utilities\Utiles.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 1, 4, 34
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tile.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 1, 14, 68
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\AirTile.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\BedrockTile.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\GrassTile.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\repos\MMO-Game\MMO-Game\sketch\world\Tiles\StoneTile.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\repos\MMO-Game\MMO-Game\sketch\world\World.ts", "TypeScript", 0, 0, 0, 0, 84, 0, 0, 7, 91
"c:\repos\MMO-Game\MMO-Game\sketch\world\WorldGen.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 3, 5, 33
"c:\repos\MMO-Game\MMO-Game\tsconfig.json", "JSON with Comments", 0, 0, 13, 0, 0, 0, 0, 1, 14
"Total", "-", 0, 5102, 13, 37, 923, 781, 19, 140, 7015
